_id,type,subtype,city,pubMillis,description,id,x,y
681061ae399fa7ce9001081b,,,,,,user-0,-70.644,-33.462
681061ae399fa7ce9001081c,,,,,,user-1,-70.664,-33.447
681061ae399fa7ce9001081d,,,,,,user-2,-70.638,-33.443
681061ae399fa7ce9001081e,,,,,,user-3,-70.65350000000001,-33.453
681061ae399fa7ce9001081f,,,,,,user-4,-70.6605,-33.4415
681061ae399fa7ce90010820,,,,,,user-5,-70.644,-33.4535
681061ae399fa7ce90010821,,,,,,user-6,-70.63850000000001,-33.4575
681061ae399fa7ce90010822,,,,,,user-7,-70.637,-33.4465
681061ae399fa7ce90010823,,,,,,user-8,-70.644,-33.442
681061ae399fa7ce90010824,,,,,,user-9,-70.665,-33.4435
681061ae399fa7ce90010825,,,,,,user-10,-70.644,-33.452
681061ae399fa7ce90010826,,,,,,user-11,-70.64450000000001,-33.4505
681061ae399fa7ce90010827,,,,,,user-12,-70.665,-33.441
681061ae399fa7ce90010828,,,,,,user-13,-70.665,-33.4395
681061ae399fa7ce90010829,,,,,,user-14,-70.6465,-33.452
681061ae399fa7ce9001082a,,,,,,user-15,-70.643,-33.4505
681061ae399fa7ce9001082b,,,,,,user-16,-70.6615,-33.4465
681061ae399fa7ce9001082c,,,,,,user-17,-70.64150000000001,-33.4415
681061ae399fa7ce9001082d,,,,,,user-18,-70.661,-33.4495
681061ae399fa7ce9001082e,,,,,,user-19,-70.647,-33.451
681061ae399fa7ce9001082f,,,,,,user-0,-70.65650000000001,-33.4605
681061ae399fa7ce90010830,,,,,,user-1,-70.647,-33.4465
681061ae399fa7ce90010831,,,,,,user-2,-70.64450000000001,-33.4505
681061ae399fa7ce90010832,,,,,,user-3,-70.664,-33.447
681061ae399fa7ce90010833,,,,,,user-4,-70.658,-33.4555
681061ae399fa7ce90010834,,,,,,user-5,-70.65950000000001,-33.451
681061ae399fa7ce90010835,,,,,,user-6,-70.656,-33.443
681061ae399fa7ce90010836,,,,,,user-7,-70.65950000000001,-33.449
681061ae399fa7ce90010837,,,,,,user-8,-70.645,-33.4415
681061ae399fa7ce90010838,,,,,,user-9,-70.647,-33.4455
681061ae399fa7ce90010839,,,,,,user-10,-70.644,-33.452
681061ae399fa7ce9001083a,,,,,,user-11,-70.63850000000001,-33.4615
681061ae399fa7ce9001083b,,,,,,user-12,-70.6525,-33.4475
681061ae399fa7ce9001083c,,,,,,user-13,-70.664,-33.442
681061ae399fa7ce9001083d,,,,,,user-14,-70.66,-33.45
681061ae399fa7ce9001083e,,,,,,user-15,-70.65650000000001,-33.453
681061ae399fa7ce9001083f,,,,,,user-16,-70.65650000000001,-33.4605
681061ae399fa7ce90010840,,,,,,user-17,-70.638,-33.443
681061ae399fa7ce90010841,,,,,,user-18,-70.6375,-33.4485
681061ae399fa7ce90010842,,,,,,user-19,-70.653,-33.45
681061f6399fa7ce90010843,,,,,,user-0,-70.644,-33.462
681061f6399fa7ce90010844,,,,,,user-1,-70.664,-33.447
681061f6399fa7ce90010845,,,,,,user-2,-70.638,-33.443
681061f6399fa7ce90010846,,,,,,user-3,-70.65350000000001,-33.453
681061f6399fa7ce90010847,,,,,,user-4,-70.6605,-33.4415
681061f6399fa7ce90010848,,,,,,user-5,-70.644,-33.4535
681061f6399fa7ce90010849,,,,,,user-6,-70.63850000000001,-33.4575
681061f6399fa7ce9001084a,,,,,,user-7,-70.637,-33.4465
681061f6399fa7ce9001084b,,,,,,user-8,-70.644,-33.442
681061f6399fa7ce9001084c,,,,,,user-9,-70.665,-33.4435
681061f6399fa7ce9001084d,,,,,,user-10,-70.644,-33.452
681061f6399fa7ce9001084e,,,,,,user-11,-70.64450000000001,-33.4505
681061f6399fa7ce9001084f,,,,,,user-12,-70.665,-33.441
681061f6399fa7ce90010850,,,,,,user-13,-70.665,-33.4395
681061f6399fa7ce90010851,,,,,,user-14,-70.6465,-33.452
681061f6399fa7ce90010852,,,,,,user-15,-70.643,-33.4505
681061f6399fa7ce90010853,,,,,,user-16,-70.6615,-33.4465
681061f6399fa7ce90010854,,,,,,user-17,-70.64150000000001,-33.4415
681061f6399fa7ce90010855,,,,,,user-18,-70.661,-33.4495
681061f6399fa7ce90010856,,,,,,user-19,-70.647,-33.451
681061f6399fa7ce90010857,,,,,,user-0,-70.65650000000001,-33.4605
681061f6399fa7ce90010858,,,,,,user-1,-70.647,-33.4465
681061f6399fa7ce90010859,,,,,,user-2,-70.64450000000001,-33.4505
681061f6399fa7ce9001085a,,,,,,user-3,-70.664,-33.447
681061f6399fa7ce9001085b,,,,,,user-4,-70.658,-33.4555
681061f6399fa7ce9001085c,,,,,,user-5,-70.65950000000001,-33.451
681061f6399fa7ce9001085d,,,,,,user-6,-70.656,-33.443
681061f6399fa7ce9001085e,,,,,,user-7,-70.65950000000001,-33.449
681061f6399fa7ce9001085f,,,,,,user-8,-70.645,-33.4415
681061f6399fa7ce90010860,,,,,,user-9,-70.647,-33.4455
681061f6399fa7ce90010861,,,,,,user-10,-70.644,-33.452
681061f6399fa7ce90010862,,,,,,user-11,-70.63850000000001,-33.4615
681061f6399fa7ce90010863,,,,,,user-12,-70.6525,-33.4475
681061f6399fa7ce90010864,,,,,,user-13,-70.664,-33.442
681061f6399fa7ce90010865,,,,,,user-14,-70.66,-33.45
681061f6399fa7ce90010866,,,,,,user-15,-70.65650000000001,-33.453
681061f6399fa7ce90010867,,,,,,user-16,-70.65650000000001,-33.4605
681061f6399fa7ce90010868,,,,,,user-17,-70.638,-33.443
681061f6399fa7ce90010869,,,,,,user-18,-70.6375,-33.4485
681061f6399fa7ce9001086a,,,,,,user-19,-70.653,-33.45
681061f6399fa7ce9001086b,,,,,,user-0,-70.645,-33.462
681061f6399fa7ce9001086c,,,,,,user-1,-70.644,-33.446
681061f6399fa7ce9001086d,,,,,,user-2,-70.6645,-33.4515
681061f6399fa7ce9001086e,,,,,,user-3,-70.65350000000001,-33.4405
681061f6399fa7ce9001086f,,,,,,user-4,-70.644,-33.4475
681061f6399fa7ce90010870,,,,,,user-5,-70.653,-33.44
681061f6399fa7ce90010871,,,,,,user-6,-70.6665,-33.4575
681061f6399fa7ce90010872,,,,,,user-7,-70.645,-33.462
681061f6399fa7ce90010873,,,,,,user-8,-70.655,-33.4605
681061f6399fa7ce90010874,,,,,,user-9,-70.649,-33.46
681061f6399fa7ce90010875,,,,,,user-10,-70.644,-33.4465
681061f6399fa7ce90010876,,,,,,user-11,-70.65650000000001,-33.453
681061f6399fa7ce90010877,,,,,,user-12,-70.64150000000001,-33.4415
681061f6399fa7ce90010878,,,,,,user-13,-70.65950000000001,-33.4395
681061f6399fa7ce90010879,,,,,,user-14,-70.6405,-33.454
681061f6399fa7ce9001087a,,,,,,user-15,-70.646,-33.4465
681061f6399fa7ce9001087b,,,,,,user-16,-70.655,-33.449
681061f6399fa7ce9001087c,,,,,,user-17,-70.647,-33.4465
681061f6399fa7ce9001087d,,,,,,user-18,-70.6605,-33.4465
681061f6399fa7ce9001087e,,,,,,user-19,-70.64,-33.4395
681061f6399fa7ce9001087f,,,,,,user-0,-70.647,-33.4465
681061f6399fa7ce90010880,,,,,,user-1,-70.647,-33.4465
681061f6399fa7ce90010881,,,,,,user-2,-70.667,-33.456
681061f6399fa7ce90010882,,,,,,user-3,-70.64450000000001,-33.4435
681061f6399fa7ce90010883,,,,,,user-4,-70.6495,-33.447
681061f6399fa7ce90010884,,,,,,user-5,-70.655,-33.4545
681061f6399fa7ce90010885,,,,,,user-6,-70.644,-33.4535
681061f6399fa7ce90010886,,,,,,user-7,-70.6585,-33.4525
681061f6399fa7ce90010887,,,,,,user-8,-70.66,-33.45
681061f6399fa7ce90010888,,,,,,user-9,-70.662,-33.4465
681061f6399fa7ce90010889,,,,,,user-10,-70.656,-33.4605
681061f6399fa7ce9001088a,,,,,,user-11,-70.644,-33.4465
681061f6399fa7ce9001088b,,,,,,user-12,-70.657,-33.447
681061f6399fa7ce9001088c,,,,,,user-13,-70.649,-33.4435
681061f6399fa7ce9001088d,,,,,,user-14,-70.64150000000001,-33.4415
681061f6399fa7ce9001088e,,,,,,user-15,-70.657,-33.4605
681061f6399fa7ce9001088f,,,,,,user-16,-70.652,-33.4585
681061f6399fa7ce90010890,,,,,,user-17,-70.647,-33.4465
681061f6399fa7ce90010891,,,,,,user-18,-70.665,-33.457
681061f6399fa7ce90010892,,,,,,user-19,-70.64,-33.4395
6810623f399fa7ce90010893,,,,,,user-0,-70.644,-33.462
6810623f399fa7ce90010894,,,,,,user-1,-70.664,-33.447
6810623f399fa7ce90010895,,,,,,user-2,-70.638,-33.443
6810623f399fa7ce90010896,,,,,,user-3,-70.65350000000001,-33.453
6810623f399fa7ce90010897,,,,,,user-4,-70.6605,-33.4415
6810623f399fa7ce90010898,,,,,,user-5,-70.644,-33.4535
6810623f399fa7ce90010899,,,,,,user-6,-70.63850000000001,-33.4575
6810623f399fa7ce9001089a,,,,,,user-7,-70.637,-33.4465
6810623f399fa7ce9001089b,,,,,,user-8,-70.644,-33.442
6810623f399fa7ce9001089c,,,,,,user-9,-70.665,-33.4435
6810623f399fa7ce9001089d,,,,,,user-10,-70.644,-33.452
6810623f399fa7ce9001089e,,,,,,user-11,-70.64450000000001,-33.4505
6810623f399fa7ce9001089f,,,,,,user-12,-70.665,-33.441
6810623f399fa7ce900108a0,,,,,,user-13,-70.665,-33.4395
